title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console (Renewed),$426.99,4.3 out of 5 stars,935 ratings,Not Available
PlayStation 4 500GB Console (Renewed),$369.00,4.0 out of 5 stars,290 ratings,Not Available
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.6 out of 5 stars,"4,173 ratings",Not Available
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),$380.79,4.6 out of 5 stars,"1,218 ratings",Not Available
PlayStation 4 Slim 1TB Console - Black (Renewed),$479.99,4.6 out of 5 stars,"1,174 ratings",Not Available
Sony PlayStation 2 Console - Black (Renewed),$200.99,4.4 out of 5 stars,"1,050 ratings",Not Available
PlayStation 4 Slim 1TB Console (Renewed),$426.99,4.3 out of 5 stars,935 ratings,Not Available
PlayStation 2 Slim Console PS2 (Renewed),$199.00,4.2 out of 5 stars,888 ratings,Not Available
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",,4.7 out of 5 stars,325 ratings,Not Available
Sony - PlayStation 4 Pro Console (3002470) Jet Black - 1TB - Renewed,$399.00,4.3 out of 5 stars,194 ratings,Not Available
Sony PlayStation 4 PRO 1TB Gaming Console - Black (Renewed),$478.93,3.9 out of 5 stars,150 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,188 ratings",Only 8 left in stock - order soon
Sony Playstation PS4 1TB Black Console,$689.00,4.7 out of 5 stars,862 ratings,Not Available
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",$449.99,4.1 out of 5 stars,362 ratings,Not Available
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),$380.79,4.6 out of 5 stars,"1,218 ratings",Not Available
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle,,4.8 out of 5 stars,"8,860 ratings",Only 1 left in stock - order soon
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,574 ratings",
Madden NFL 23 – PlayStation 4,$27.00,4.6 out of 5 stars,762 ratings,
NHL 23 - PlayStation 4,$27.00,4.5 out of 5 stars,36 ratings,Not Available
NBA 2K23 - PlayStation 4,$27.00,4.6 out of 5 stars,269 ratings,In Stock.
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.75,4.7 out of 5 stars,"141,147 ratings",Not Available
?Upgraded? Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Replacement for PS4 Controller,,4.7 out of 5 stars,39 ratings,Not Available
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control,Great Gamepad Gift (Blue+Purple)",,4.3 out of 5 stars,258 ratings,Not Available
PS5 Console – God of War Ragnarök Bundle,,4.7 out of 5 stars,169 ratings,Available by invitation
"Tatybo 5.8G Wireless Gaming Headset with Detachable Mic for PC PS4 PS5 Mac Switch, 7.1 Surround Sound, Bluetooth Headset",,5.0 out of 5 stars,13 ratings,In Stock
Port Royale 4 - PlayStation 4,$21.47,4.0 out of 5 stars,161 ratings,Not Available
Astronite - PlayStation 4,$29.99,Previous page of related Sponsored Products,,"This item will be released on December 2, 2022."
"2 Pack Wireless Controller for PS4,EEIDC Remote Control for Playstation 4/Slim/Pro with Double Shock/Audio/Six-axis Motion Sensor(Blue and Purple)",$43.99,Previous page of related Sponsored Products,,Not Available
Marvel’s Guardians of the Galaxy PlayStation 4 with Free Upgrade to the Digital PS5 Version,$14.99,4.7 out of 5 stars,"2,860 ratings",In Stock
"Wireless PS4 Controller Works with Playstation 4 Controller, YU33 Remote/Gamepad/Control/Joystick/Pa4 Controller with Charging Cable and 1200mAh Battery, Gift for Girls/Kids/Men(Galaxy and White),2022",,5.0 out of 5 stars,1 rating,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,188 ratings",Not Available
Sony Playstation 4 Slim Video Game Console 500GB Jet Black PS4,,4.5 out of 5 stars,234 ratings,
PlayStation 4 Pro 1TB Console,,4.7 out of 5 stars,"12,443 ratings",Only 2 left in stock - order soon
Sony PlayStation 4 Pro 1TB White (PS4),,4.5 out of 5 stars,922 ratings,
PlayStation 4 Pro 1TB Limited Edition Console - Marvel's Spider-Man Bundle [Discontinued],,4.6 out of 5 stars,652 ratings,Not Available
PlayStation 4 Pro 1TB Limited Edition Console - Star Wars Battlefront II Bundle [Discontinued],,4.6 out of 5 stars,654 ratings,Only 1 left in stock - order soon
